"Jmax","Line","adjusted_Jmax"
15.5637304634213,"B1K-02-02",178.780246531636
-19.9906082532197,"B1K-03-17",143.225907814995
11.7894461177161,"B1K-04-03",175.005962185931
-8.69647567176705,"B1K-05-03",154.520040396448
1.47046712911195,"B1K-05-08",164.686983197327
-15.1648455147432,"B1K-05-12",148.051670553472
-1.83417634945662,"B1K-06-19",161.382339718758
20.9169300686292,"B1K-08-03",184.133446136844
-22.7157256733346,"B1K-08-06",140.50079039488
-20.4262209860592,"B1K-08-09",142.790295082156
4.08184408101176,"B1K-10-01",167.298360149227
-3.73200233632522,"B1K-11-10",159.48451373189
4.73964664183948,"B1K-12-10",167.956162710054
-16.4679916720098,"B1K-13-03",146.748524396205
10.2056620090671,"B1K-13-20",173.422178077282
-19.2538323180413,"B1K-14-04",143.962683750174
-1.91141811567947,"B1K-15-05",161.305097952536
9.54466962441729,"B1K-17-17",172.761185692632
-18.2628667529981,"B1K-18-16",144.953649315217
6.629788691405,"B1K-19-01",169.84630475962
17.4309564930959,"B1K-19-12",180.647472561311
12.7741108684298,"B1K-19-20",175.990626936645
11.1543913135953,"B1K-20-02",174.37090738181
-5.81485811224492,"B1K-20-13",157.40165795597
-16.2591088660975,"B1K-21-03",146.957407202118
-5.8519529850376,"B1K-21-11",157.364563083177
-6.87070120914112,"B1K-23-12",156.345814859074
4.3969911808135,"B1K-24-01",167.613507249029
-2.12637624268766,"B1K-24-18",161.090139825527
-7.52441484795427,"B1K-25-13",155.692101220261
15.5428662305604,"B1K-25-20",178.759382298775
3.65307088406196,"B1K-26-03",166.869586952277
-7.04259126318446,"B1K-27-02",156.173924805031
4.78782240792146,"B1K-27-11",168.004338476136
16.5697739912324,"B1K-28-13",179.786290059447
12.1900578100775,"B1K-31-19",175.406573878293
-5.38424537735827,"B1K-34-20",157.832270690857
9.75702515649259,"B1K-36-04",172.973541224708
3.22240982398308,"B1K-42-07",166.438925892198
6.63890723852183,"B1K-44-02",169.855423306737
5.2465466364805,"B1K-46-07",168.463062704696
-5.71765275741575,"B1K-46-15",157.498863310799
0.330193526349964,"B1K-49-10",163.546709594565
16.6355145705705,"B1K-50-07",179.852030638786
-1.76703626964522,"B1K-51-01",161.44947979857
-13.6994842606996,"B1K-51-10",149.517031807515
1.24176287629701,"B1K-51-19",164.458278944512
